id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
8378,Abrikosmarmelade u. tilsat sukker,5703161810130,Easis,285 g,jar,true,glass,clear
8383,Øko. Garam masala,5710959093613,Karlsens,50 g,bag,true,plastic,clear
8387,Dansk honning øko,5772739449980,HF Økohonning,215 g,jar,true,glass,clear
8388,Mørke overtræksknapper,5709385007813,Spangsberg,900 g,tray,true,plastic,clear
8394,Solsikkekerner,5760932017242,Svansø,800 g,bag,true,plastic,clear
8396,Stærk paprika,7311311014413,Santa Maria,37 g,jar,true,glass,clear
8397,Karry,7311311016431,Santa Maria,205 g,jar,true,plastic,clear
8402,Rapsolie m. citron koldpresset,5712503103823,Princip,250 ml,bottle,true,glass,clear
8403,Stenalderbrød m. chiafrø øko,5760932012940,Svansø,450 g,bag,false,plastic,clear
8404,Tandoori masala,5710959092364,Karlsens,30 g,bag,true,plastic,clear
8405,Hele stjerneanis,5710959092388,Karlsens,40 g,sleeve,true,plastic,clear
8408,Pastasauce arrabbiata,5710405004699,Barilla,400 g,jar,true,glass,clear
8413,Rapskimolie koldpresset,5707951000503,Lehnsgaard,500 ml,bottle,true,glass,clear
8416,Aspargessnitter,5707381005130,Paradiso,280 g,jar,true,glass,clear
8417,Sødemiddel,5703161802012,Easis,170 g,bucket,true,plastic,white
8419,Instant kopnudler m. kyllingesmag og karry stærk,8934561241980,Vifon,60 g,cup-tub,true,plastic,clear
8421,Peanut sataysauce,5010338023119,Blue Dragon,350 ml,jar,true,glass,clear
8422,Kværn m. hele fem peber blanding,5710405086930,Santa Maria,60 g,jar,true,glass,clear
8428,Cremet peanutbutter øko,5765228380031,Urtekram,230 g,jar,true,glass,clear
8430,Natron,5701009156013,Tørsleffs,"0,1 kg",cup-tub,true,plastic,white
8436,Fuldkornsmorgenmad m. rug og havre,5708308036770,Funny Fuldkorn,750 g,bag,true,plastic,clear
8440,Instant havregrød m. æble og blåbær øko,5712873574797,Salling ØKO,55 g,cup-tub,true,plastic,clear
8441,Tun i olie,5712873622603,Princip,190 g,jar,true,glass,clear
8442,Bearnaisedressing,5701116016682,Svansø,250 ml,bottle,true,plastic,clear
8446,Syltede græskar,5712872783305,Vores,570 g,jar,true,glass,clear
8449,Pommes frites krydderi,7311311017018,Santa Maria,119 g,jar,true,glass,clear
8454,Original Chili Pasta,5704929100012,Chu-Chum,"0,27 liter",jar,true,glass,clear
8458,Stenalderbrød m. tranebær,5760932012131,Svansø,500 g,box,true,plastic,clear
8459,Pizzakrydderi,5710959092234,Karlsens,30 g,bag,true,plastic,clear
8460,Timian øko,5765228791424,Urtekram,10 g,jar,true,metal,black
8464,Tomatsalsa m. ananas medium,7311312000941,Santa Maria,230 g,jar,true,glass,clear
8468,Mandelsplitter,5760932012896,Svansø,40 g,bag,true,plastic,clear
8470,Asier uden tilsat sukker,5706680028239,Samsø Syltefabrik,540 g,jar,true,glass,clear
8476,Rosmarin øko,5765228779088,Urtekram,18 g,can,true,metal,black
8477,Stødt gurkemeje øko,5765228723685,Urtekram,25 g,can,true,metal,black
8480,Tomatketchup m. stærk chili,5701018031936,Beauvais,500 g,bottle,true,plastic,clear
8484,Ekstra jomfruolivenolie spray m. citron,5708229158803,Zelected,100 ml,bottle,true,glass,clear
8489,Granola m. chokolade og kokos u. tilsat sukker,5703161806652,Easis,350 g,bag,true,plastic,white
8495,Syltede rødløg,5708229700224,Zelected,275 g,jar,true,glass,clear
8499,Græsk inspireret krydderi,7311311017049,Santa Maria,69 g,jar,true,glass,clear
8502,Mango- og papayasalsa mild,7311312003447,Santa Maria,230 g,jar,true,glass,clear
8507,Tacosauce mild øko,7311312000811,Santa Maria,230 g,jar,true,glass,clear
8510,Sorte ris øko,5703043441094,Il Fornaio,375 g,bag,true,plastic,clear
8519,Syltet ingefær,5010338016135,Blue Dragon,145 g,jar,true,glass,clear
8520,Stødt kardemomme øko,5765228742181,Urtekram,15 g,can,true,metal,black
8521,Pulled pork krydderiblanding,5701239017191,Solina,280 g,jar,true,plastic,clear
8522,Lagereddike klar øko,5707653203103,Heidelberg,1 l,bottle,true,plastic,clear
8524,Ingefærmarmelade,5701211012510,Den Gamle Fabrik,380 g,jar,true,glass,clear
8525,Appelsinmarmelade øko,5707446009035,Fynbo,340 g,jar,true,glass,clear
8531,Tubetti 3-farvet øko,8016419200315,Dalla costa,"0,25 kg",bag,true,plastic,clear
8540,Goma dressing,5710067001500,Omodaka,500 ml,bottle,true,plastic,clear
8542,Tomatketchup,8710522920664,Hellmann's,430 ml,bottle,true,plastic,clear
8550,Manzanilla oliven,8428391003424,Bernal,180 g,jar,true,glass,clear
8554,Spaghetti bolognese,8711200360345,Knorr,88 g,cup-tub,true,plastic,clear
8555,Timian,7311311014949,Santa Maria,80 g,cup-tub,true,plastic,clear
8557,Chilipeber chipotle,7311311015571,Santa Maria,33 g,jar,true,glass,clear
8560,Sennep kraftigt krydret,5701018046411,Bähncke,250 g,jar,true,glass,clear
8561,Dansk lynghonning,5772739447801,Jakobsens,400 g,jar,true,plastic,clear
8564,Stødt ingefær øko,5765228735374,Urtekram,15 g,can,true,metal,black
8566,Taco krydderiblanding øko,5765228897805,Urtekram,70 g,can,true,metal,black
8567,Ranchdressing,71475740067,Cardini's,350 ml,bottle,true,glass,clear
